uid,type,"1. In the last month, how often have you been upset because of something that happened unexpectedly?","2. In the last month, how often have you felt that you were unable to control the important things in your life?","3. In the last month, how often have you felt nervous and ""stressed""?","4. In the last month, how often have you felt confident about your ability to handle your personal problems?","5. In the last month, how often have you felt that things were going your way?","6. In the last month, how often have you found that you could not cope with all the things that you had to do?","7. In the last month, how often have you been able to control irritations in your life?","8. In the last month, how often have you felt that you were on top of things?","9. In the last month, how often have you been angered because of things that were outside of your control?","10. In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?"
u31,pre,Very often,Very often,Sometime,Almost never,Sometime,Almost never,Fairly often,Almost never,Sometime,Sometime
u32,pre,Never,Never,Sometime,Very often,Fairly often,Never,Very often,Very often,Never,Never
u33,pre,Fairly often,Very often,Very often,Almost never,Almost never,Very often,Almost never,Never,Sometime,Fairly often
u34,pre,Almost never,Almost never,Sometime,Fairly often,Fairly often,Sometime,Fairly often,Sometime,Sometime,Almost never
u35,pre,Sometime,Sometime,Almost never,Fairly often,Fairly often,Sometime,Very often,Sometime,Almost never,Sometime
u36,pre,Almost never,Almost never,Sometime,Fairly often,Fairly often,Almost never,Fairly often,Sometime,Almost never,Almost never
u42,pre,Sometime,Fairly often,Very often,Almost never,Almost never,Sometime,Sometime,Sometime,Almost never,Sometime
u43,pre,Sometime,Fairly often,Fairly often,Fairly often,Sometime,Sometime,Fairly often,Sometime,Fairly often,Sometime
u44,pre,Almost never,Sometime,Sometime,Sometime,Sometime,Almost never,Sometime,Almost never,Sometime,Almost never
u45,pre,Sometime,Fairly often,Sometime,Almost never,Fairly often,Almost never,Never,Sometime,Fairly often,Almost never
u46,pre,Very often,Fairly often,Sometime,Almost never,Sometime,Very often,Never,Sometime,Very often,Fairly often
u47,pre,Sometime,Almost never,Fairly often,Fairly often,Fairly often,Almost never,Sometime,Fairly often,Almost never,Almost never
u49,pre,Sometime,Sometime,Sometime,Fairly often,Fairly often,Sometime,Very often,Sometime,Sometime,Sometime
u50,pre,Almost never,Almost never,Almost never,Never,Sometime,Almost never,Sometime,Sometime,Fairly often,Sometime
u51,pre,Almost never,Almost never,Sometime,Sometime,Sometime,Almost never,Fairly often,Sometime,Almost never,Almost never
u52,pre,Sometime,Very often,Very often,Almost never,Fairly often,Sometime,Very often,Sometime,Almost never,Fairly often
u53,pre,Fairly often,Fairly often,Very often,Sometime,Sometime,Sometime,Fairly often,Sometime,Sometime,Sometime
u54,pre,Sometime,Sometime,Fairly often,Fairly often,Sometime,Sometime,Sometime,Sometime,Almost never,Sometime
u56,pre,Almost never,Almost never,Almost never,Fairly often,Fairly often,Sometime,Fairly often,Fairly often,Almost never,Almost never
u57,pre,Almost never,Sometime,Sometime,Very often,Fairly often,Never,Fairly often,Fairly often,Almost never,Never
u58,pre,Sometime,Fairly often,Very often,Fairly often,Almost never,Almost never,Very often,Almost never,Sometime,Almost never
u59,pre,Sometime,Fairly often,Sometime,Sometime,Sometime,Fairly often,Very often,Fairly often,Sometime,Almost never
